Polonais,Français
dzień dobry,bonjour
dobranoc,bonne nuit
dobry wieczór,bonsoir
do widzenia,au revoir
cześć,salut
do jutra,à demain
do zobaczenia,à la prochaine fois
na razie,à plus
nara,à plus (argot)
pa,bye
imię,prénom
nazwisko,nom
Jak masz na imię ?,Quel est ton prénom ?
Jak masz na nazwisko ?,Quel est ton nom ?
Jak się nazywasz ?,Comment t’appelles-tu ?
pan,monsieur
pani,madame
panowie,messieurs
panie,mesdames
państwo,messieurs-dames
Miło mi,Enchanté
Miło mi cię poznać,Ravi de faire ta connaissance
gdzie,où
mieszkać w + loc,habiter à
skąd,d’où
być z + gen,être de
on,il
ona,elle
ono,neutre
oni,ils
one,elles
Co u ciebie ?,Comment vas-tu ?
Co słychać ?,Quoi de neuf ?
Co nowego ?,Quoi de nouveau ?
Jak się masz ?,Comment vas-tu ? (2)
Nic nowego,Rien de nouveau
Po staremu,Que du vieux
dziękuję,merci
wszystko,tout
dobrze,bien
świetnie,super
w porządku,en ordre
źle,mal
jeden,un
dwa,deux
trzy,trois
cztery,quatre
pięć,cinq
sześć,six
siedem,sept
osiem,huit
dziewięć,neuf
dziesięć,dix
